order_id,date,customer_id,product_id,product,product_category,price,quantity,coupon_code,discount_pct,payment_method,shipping_city,shipping_province,sales_amount
ON100167,14/01/2025,C10204,P6724,Face Cleanser,Beauty,63.9,3,SAVE10,10,Interac,Mississauga,ON,172.53
ON100268,14/01/2025,C10293,P3255,Air Fryer,Home & Kitchen,16.05,4,WELCOME5,5,Debit Card,Toronto,ON,60.99
ON100295,14/01/2025,C11807,P2804,Basketball,Sports,125.65,5,SAVE10,10,Credit Card,London,ON,565.43
ON100363,14/01/2025,C10288,P4725,Jeans,Apparel,86.74,4,SAVE15,15,Mobile Wallet,Windsor,ON,294.92
ON100809,15/01/2025,C11755,P1259,Coffee Maker,Home & Kitchen,76.22,5,NO_COUPON,0,Credit Card,Waterloo,ON,381.1
ON100423,16/01/2025,C12182,P1973,Blender,Home & Kitchen,38.27,3,NO_COUPON,0,Debit Card,Waterloo,ON,114.81
ON100448,16/01/2025,C12295,P9584,Winter Jacket,Apparel,219.85,2,SAVE15,15,Credit Card,Scarborough,ON,373.74
ON100818,18/01/2025,C12454,P3162,Coffee Beans,Grocery,46.84,3,SAVE15,15,Credit Card,Mississauga,ON,119.44
ON100136,19/01/2025,C10761,P5631,Storage Bin,Home & Kitchen,8.71,3,NO_COUPON,0,Interac,Barrie,ON,26.13
ON100379,20/01/2025,C10734,P7224,Water Bottle,Home & Kitchen,73.79,5,NO_COUPON,0,PayPal,London,ON,368.95
ON100776,20/01/2025,C10366,P2143,Storage Bin,Home & Kitchen,26.76,1,SAVE15,15,Mobile Wallet,Mississauga,ON,22.75
ON100145,22/01/2025,C10366,P4177,Power Bank,Electronics,84.39,2,BOGO,20,Debit Card,Markham,ON,135.02
ON100654,22/01/2025,C10065,P8770,Tea,Grocery,5.61,4,NO_COUPON,0,Credit Card,Scarborough,ON,22.44
ON100832,22/01/2025,C11719,P2585,Power Bank,Electronics,112.67,3,FREESHIP,0,Credit Card,Hamilton,ON,338.01
ON100955,22/01/2025,C10475,P2909,Wireless Keyboard,Electronics,63,2,NO_COUPON,0,Debit Card,Toronto,ON,126
ON100115,23/01/2025,C11266,P8741,Webcam,Electronics,147.53,2,NO_COUPON,0,Interac,Guelph,ON,295.06
ON100322,23/01/2025,C12283,P3893,Hoodie,Apparel,16.46,3,NO_COUPON,0,Mobile Wallet,Guelph,ON,49.38
ON100858,25/01/2025,C10902,P6982,Webcam,Electronics,129.53,5,FREESHIP,0,Debit Card,Barrie,ON,647.65
ON100246,26/01/2025,C11527,P6067,Power Bank,Electronics,21.8,4,NO_COUPON,0,Credit Card,Markham,ON,87.2
ON100889,26/01/2025,C11457,P1186,Yoga Mat,Sports,38.49,2,NO_COUPON,0,Mobile Wallet,Hamilton,ON,76.98
ON101004,26/01/2025,C11607,P8957,Jeans,Apparel,106.17,5,BOGO,20,Debit Card,Kitchener,ON,424.68
ON100055,27/01/2025,C10870,P1134,Baseball Cap,Apparel,21.98,2,SAVE10,10,Interac,London,ON,39.56
ON100555,27/01/2025,C10035,P2889,Jeans,Apparel,46.03,2,SAVE10,10,Interac,Vaughan,ON,82.85
ON100799,27/01/2025,C12323,P6740,Hoodie,Apparel,20.35,2,SAVE10,10,Credit Card,Kitchener,ON,36.63
ON100805,27/01/2025,C10025,P1545,Power Bank,Electronics,145.56,3,SAVE10,10,Debit Card,Kitchener,ON,393.01
ON100346,28/01/2025,C11332,P4569,T-Shirt,Apparel,47.76,2,NO_COUPON,0,Debit Card,Kitchener,ON,95.52
ON100391,28/01/2025,C11236,P1159,Air Fryer,Home & Kitchen,26,4,WELCOME5,5,Debit Card,Toronto,ON,98.8
ON100567,30/01/2025,C10087,P7763,Fitness Tracker,Sports,90.49,1,NO_COUPON,0,Credit Card,Mississauga,ON,90.49
ON100689,31/01/2025,C11725,P6317,Hair Dryer,Beauty,27.99,2,NO_COUPON,0,PayPal,Vaughan,ON,55.98
ON100577,01/02/2025,C12050,P4973,Body Lotion,Beauty,70.6,3,SAVE15,15,PayPal,Waterloo,ON,180.03
ON100836,01/02/2025,C12065,P6307,Storage Bin,Home & Kitchen,80.07,6,NO_COUPON,0,Credit Card,Toronto,ON,480.42
ON100539,02/02/2025,C11082,P2794,Basketball,Sports,126.76,4,SAVE15,15,Interac,Ottawa,ON,430.98
ON100875,02/02/2025,C10472,P6693,Power Bank,Electronics,49.69,5,FREESHIP,0,PayPal,Mississauga,ON,248.45
ON100535,03/02/2025,C11417,P4056,Water Bottle,Home & Kitchen,13.6,2,NO_COUPON,0,Credit Card,Kitchener,ON,27.2
ON100885,03/02/2025,C10575,P5558,Yoga Mat,Sports,14.4,1,SAVE10,10,Credit Card,Kitchener,ON,12.96
ON101006,03/02/2025,C10568,P8377,Granola Bars,Grocery,19.44,3,NO_COUPON,0,Credit Card,Brampton,ON,58.32
ON101011,03/02/2025,C12280,P7272,Wireless Keyboard,Electronics,92.9,3,WELCOME5,5,Credit Card,Barrie,ON,264.77
ON100846,04/02/2025,C10165,P5593,Wireless Keyboard,Electronics,126.78,1,SAVE15,15,Mobile Wallet,Windsor,ON,107.76
ON100148,05/02/2025,C12344,P8602,Cereal,Grocery,7.88,1,NO_COUPON,0,Mobile Wallet,Cambridge,ON,7.88
ON100611,07/02/2025,C11980,P8995,Lip Balm,Beauty,33.7,5,NO_COUPON,0,Interac,Scarborough,ON,168.5
ON100035,08/02/2025,C11466,P2461,Bluetooth Speaker,Electronics,30.31,3,NO_COUPON,0,Debit Card,Waterloo,ON,90.93
ON100275,09/02/2025,C11241,P1599,Coffee Maker,Home & Kitchen,154.98,1,SAVE10,10,Credit Card,Guelph,ON,139.48
ON100511,10/02/2025,C10452,P3362,Pasta,Grocery,10.67,4,FREESHIP,0,Credit Card,Cambridge,ON,42.68
ON100044,11/02/2025,C12376,P3808,Knife Set,Home & Kitchen,16.64,3,BOGO,20,Debit Card,Kitchener,ON,39.94
ON100381,11/02/2025,C10272,P5158,Webcam,Electronics,27.81,6,FREESHIP,0,Debit Card,Markham,ON,166.86
ON100886,12/02/2025,C10605,P8941,Knife Set,Home & Kitchen,45.31,4,NO_COUPON,0,Debit Card,Toronto,ON,181.24
ON100650,13/02/2025,C11050,P9052,Baseball Cap,Apparel,15.9,5,NO_COUPON,0,Credit Card,Brampton,ON,79.5
ON101007,13/02/2025,C11678,P9428,Pasta,Grocery,43.41,1,SAVE10,10,Credit Card,Barrie,ON,39.07
ON100068,16/02/2025,C10344,P5562,Hair Dryer,Beauty,48.23,7,NO_COUPON,0,Credit Card,Guelph,ON,337.61
ON101012,17/02/2025,C11429,P5038,Knife Set,Home & Kitchen,54.68,2,NO_COUPON,0,PayPal,Vaughan,ON,109.36
ON100125,18/02/2025,C11910,P8673,Wireless Keyboard,Electronics,20.86,3,NO_COUPON,0,Debit Card,Windsor,ON,62.58
ON100213,18/02/2025,C11959,P3562,Knife Set,Home & Kitchen,19.54,5,NO_COUPON,0,Mobile Wallet,Hamilton,ON,97.7
ON100433,19/02/2025,C12065,P1734,Hoodie,Apparel,65.63,2,SAVE10,10,PayPal,Cambridge,ON,118.13
ON100276,20/02/2025,C11739,P2237,Wireless Keyboard,Electronics,138.09,2,FREESHIP,0,Interac,London,ON,276.18
ON100242,21/02/2025,C10950,P5659,Baseball Cap,Apparel,12.78,3,NO_COUPON,0,Credit Card,Scarborough,ON,38.34
ON100425,21/02/2025,C11297,P4521,Wireless Mouse,Electronics,81.55,3,NO_COUPON,0,Interac,Markham,ON,244.65
ON100669,21/02/2025,C11756,P3708,Water Bottle,Home & Kitchen,31.19,3,NO_COUPON,0,Debit Card,Scarborough,ON,93.57
ON100006,22/02/2025,C12058,P7662,Body Lotion,Beauty,47.86,8,FREESHIP,0,Mobile Wallet,Hamilton,ON,382.88
ON100742,22/02/2025,C11934,P1857,Yoga Mat,Sports,34.46,4,NO_COUPON,0,Credit Card,Cambridge,ON,137.84
ON100869,22/02/2025,C11403,P4457,Coffee Beans,Grocery,10.57,8,FREESHIP,0,Credit Card,Cambridge,ON,84.56
ON100192,23/02/2025,C10862,P9656,T-Shirt,Apparel,53.78,2,WELCOME5,5,Credit Card,Hamilton,ON,102.18
ON100717,23/02/2025,C12343,P2458,Storage Bin,Home & Kitchen,88.75,4,SAVE10,10,Credit Card,Brampton,ON,319.5
ON100000,24/02/2025,C11972,P4031,Olive Oil,Grocery,32.12,3,BOGO,20,Debit Card,Mississauga,ON,77.09
ON100131,24/02/2025,C10098,P5220,Body Lotion,Beauty,65.72,5,SAVE15,15,Credit Card,Kitchener,ON,279.31
ON100169,24/02/2025,C11760,P4858,T-Shirt,Apparel,29.37,14,FREESHIP,0,Debit Card,Markham,ON,411.18
ON100685,24/02/2025,C10315,P6723,Olive Oil,Grocery,9.49,1,NO_COUPON,0,Interac,Mississauga,ON,9.49
ON100814,24/02/2025,C10016,P6451,Running Shoes,Apparel,55.27,5,WELCOME5,5,Credit Card,Waterloo,ON,262.53
ON100032,25/02/2025,C11845,P6515,Running Shoes,Apparel,32.7,4,NO_COUPON,0,Debit Card,Markham,ON,130.8
ON100353,25/02/2025,C11247,P7002,Tea,Grocery,50.57,5,SAVE15,15,Interac,Brampton,ON,214.92
ON100896,25/02/2025,C10524,P5778,Resistance Bands,Sports,50.45,3,NO_COUPON,0,Credit Card,Kitchener,ON,151.35
ON100574,26/02/2025,C10557,P2644,Lip Balm,Beauty,27.81,1,SAVE15,15,Debit Card,Windsor,ON,23.64
ON100937,26/02/2025,C11677,P4957,Air Fryer,Home & Kitchen,13.52,1,NO_COUPON,0,Credit Card,Mississauga,ON,13.52
ON100009,27/02/2025,C10865,P4909,Resistance Bands,Sports,36.4,2,NO_COUPON,0,Credit Card,Barrie,ON,72.8
ON100239,27/02/2025,C11809,P5827,Air Fryer,Home & Kitchen,61.65,3,FREESHIP,0,Interac,Ottawa,ON,184.95
ON100370,27/02/2025,C10354,P6679,Wireless Mouse,Electronics,31.86,3,SAVE15,15,Credit Card,Windsor,ON,81.24
ON100665,27/02/2025,C11514,P1430,Wireless Mouse,Electronics,85.98,2,BOGO,20,Debit Card,Vaughan,ON,137.57
ON100690,27/02/2025,C11306,P3375,Running Shoes,Apparel,132.92,5,NO_COUPON,0,Credit Card,Toronto,ON,664.6
ON100962,27/02/2025,C11012,P1523,Hoodie,Apparel,26.95,3,SAVE15,15,Credit Card,Windsor,ON,68.72
ON100214,28/02/2025,C11079,P6438,USB-C Hub,Electronics,36.32,2,NO_COUPON,0,PayPal,Ottawa,ON,72.64
ON100780,28/02/2025,C10614,P9316,Bluetooth Speaker,Electronics,28.37,3,NO_COUPON,0,Interac,Vaughan,ON,85.11
ON100086,01/03/2025,C10978,P3513,Granola Bars,Grocery,5.82,2,WELCOME5,5,Credit Card,Brampton,ON,11.06
ON100581,02/03/2025,C10500,P6270,Granola Bars,Grocery,45.12,3,NO_COUPON,0,PayPal,Cambridge,ON,135.36
ON100879,02/03/2025,C12375,P1484,Winter Jacket,Apparel,82.04,3,SAVE15,15,Credit Card,London,ON,209.2
ON100573,03/03/2025,C10209,P8454,Knife Set,Home & Kitchen,14.43,4,NO_COUPON,0,PayPal,Waterloo,ON,57.72
ON100254,04/03/2025,C12024,P7397,Hoodie,Apparel,191.97,3,SAVE15,15,Debit Card,Scarborough,ON,489.52
ON100509,05/03/2025,C11231,P4579,Basketball,Sports,92.76,2,FREESHIP,0,PayPal,Vaughan,ON,185.52
ON100168,06/03/2025,C11766,P6959,Knife Set,Home & Kitchen,86.6,4,SAVE10,10,Interac,Cambridge,ON,311.76
ON100454,06/03/2025,C11157,P6379,Wireless Keyboard,Electronics,41.71,3,WELCOME5,5,Credit Card,Brampton,ON,118.87
ON100576,06/03/2025,C11500,P9493,Air Fryer,Home & Kitchen,83.44,4,FREESHIP,0,Credit Card,Scarborough,ON,333.76
ON100806,06/03/2025,C12364,P7570,Granola Bars,Grocery,5.16,1,NO_COUPON,5,Credit Card,Markham,ON,4.9
ON100305,07/03/2025,C11032,P6173,Coffee Maker,Home & Kitchen,83.62,2,NO_COUPON,0,PayPal,Barrie,ON,167.24
ON100317,07/03/2025,C12350,P7482,Granola Bars,Grocery,10.82,6,NO_COUPON,0,PayPal,Markham,ON,64.92
ON100474,08/03/2025,C10769,P2314,Granola Bars,Grocery,8.19,1,NO_COUPON,0,Mobile Wallet,London,ON,8.19
ON100796,09/03/2025,C12109,P5389,Power Bank,Electronics,79.24,5,SAVE10,10,Mobile Wallet,Waterloo,ON,356.58
ON100118,11/03/2025,C10226,P9987,Power Bank,Electronics,140.76,5,WELCOME5,5,Debit Card,Hamilton,ON,668.61
ON100494,11/03/2025,C12091,P6878,Shampoo,Beauty,35.97,2,NO_COUPON,0,Credit Card,Scarborough,ON,71.94
ON100861,11/03/2025,C10276,P4729,Face Cleanser,Beauty,45.86,2,NO_COUPON,0,Credit Card,Mississauga,ON,91.72
ON100359,12/03/2025,C12265,P6497,Blender,Home & Kitchen,167.31,3,NO_COUPON,0,Mobile Wallet,Kitchener,ON,501.93
ON100531,12/03/2025,C10325,P5633,Cereal,Grocery,10.43,3,NO_COUPON,0,Credit Card,Brampton,ON,31.29
ON101005,12/03/2025,C11902,P7676,Water Bottle Sport,Sports,176.73,2,SAVE10,10,Debit Card,Brampton,ON,318.11
ON100194,13/03/2025,C12370,P8740,Lip Balm,Beauty,23.45,4,BOGO,20,Credit Card,Toronto,ON,75.04
ON100715,13/03/2025,C10534,P6004,Wireless Keyboard,Electronics,192.1,2,NO_COUPON,0,PayPal,Markham,ON,384.2
ON100767,13/03/2025,C10293,P6489,Resistance Bands,Sports,21.2,2,BOGO,20,Credit Card,Scarborough,ON,33.92
ON100308,14/03/2025,C10939,P1872,Power Bank,Electronics,170.84,3,NO_COUPON,0,Credit Card,Mississauga,ON,512.52
ON100490,14/03/2025,C12300,P1515,Blender,Home & Kitchen,110.22,7,FREESHIP,0,Mobile Wallet,Markham,ON,771.54
ON100714,14/03/2025,C11229,P4618,Body Lotion,Beauty,15.83,3,SAVE15,15,Credit Card,Scarborough,ON,40.37
ON100851,14/03/2025,C11918,P9909,Power Bank,Electronics,19.41,4,SAVE10,10,Debit Card,Markham,ON,69.88
ON100932,14/03/2025,C11554,P3013,Storage Bin,Home & Kitchen,21.77,6,BOGO,20,Debit Card,Guelph,ON,104.5
ON100412,15/03/2025,C10749,P5598,Olive Oil,Grocery,3.99,4,WELCOME5,5,Credit Card,Cambridge,ON,15.16
ON100380,16/03/2025,C11161,P2675,Storage Bin,Home & Kitchen,23.17,4,NO_COUPON,0,Credit Card,Toronto,ON,92.68
ON100772,16/03/2025,C10647,P3517,Hoodie,Apparel,130.2,2,SAVE10,10,Debit Card,Windsor,ON,234.36
ON100773,16/03/2025,C11765,P5501,T-Shirt,Apparel,13.18,4,SAVE15,15,PayPal,Kitchener,ON,44.81
ON100430,17/03/2025,C12272,P9659,Olive Oil,Grocery,4.54,1,NO_COUPON,0,Debit Card,Waterloo,ON,4.54
ON100862,17/03/2025,C11970,P8541,T-Shirt,Apparel,44.58,3,FREESHIP,0,Credit Card,Mississauga,ON,133.74
ON100154,18/03/2025,C11250,P7671,T-Shirt,Apparel,133.11,2,FREESHIP,0,Interac,Guelph,ON,266.22
ON100017,19/03/2025,C11307,P5196,Wireless Keyboard,Electronics,203.7,3,NO_COUPON,0,Mobile Wallet,Kitchener,ON,611.1
ON100217,19/03/2025,C11762,P5926,Webcam,Electronics,73.48,2,SAVE10,10,PayPal,Markham,ON,132.26
ON100748,19/03/2025,C10250,P2671,Cereal,Grocery,34.6,3,NO_COUPON,0,Debit Card,Scarborough,ON,103.8
ON100990,19/03/2025,C10613,P6665,Running Shoes,Apparel,63.12,2,NO_COUPON,0,Interac,Markham,ON,126.24
ON100073,20/03/2025,C10823,P3163,Water Bottle Sport,Sports,104.22,2,NO_COUPON,0,Credit Card,Brampton,ON,208.44
ON100695,20/03/2025,C10123,P8712,T-Shirt,Apparel,12.94,1,NO_COUPON,0,Credit Card,Barrie,ON,12.94
ON100931,20/03/2025,C10256,P7522,Lip Balm,Beauty,37.85,4,NO_COUPON,0,Mobile Wallet,Brampton,ON,151.4
ON100428,21/03/2025,C12483,P6750,Storage Bin,Home & Kitchen,92.08,3,NO_COUPON,0,Credit Card,Waterloo,ON,276.24
ON100408,22/03/2025,C11711,P6647,Coffee Maker,Home & Kitchen,61.72,1,NO_COUPON,0,Debit Card,London,ON,61.72
ON100437,22/03/2025,C10534,P5143,Dumbbells,Sports,11.89,4,SAVE15,15,Credit Card,Guelph,ON,40.43
ON100661,22/03/2025,C11876,P3134,Knife Set,Home & Kitchen,57.11,1,NO_COUPON,0,Interac,Vaughan,ON,57.11
ON100596,23/03/2025,C11823,P4939,Fitness Tracker,Sports,56.18,4,SAVE10,10,Debit Card,London,ON,202.25
ON100934,23/03/2025,C11503,P5651,Hair Dryer,Beauty,6.19,2,NO_COUPON,0,Interac,Scarborough,ON,12.38
ON100811,24/03/2025,C11079,P1433,Knife Set,Home & Kitchen,124.69,2,NO_COUPON,0,Credit Card,Hamilton,ON,249.38
ON100673,25/03/2025,C11363,P1185,Jeans,Apparel,19.84,5,NO_COUPON,0,Debit Card,Kitchener,ON,99.2
ON100099,26/03/2025,C10031,P4669,Coffee Beans,Grocery,12.95,4,NO_COUPON,0,Mobile Wallet,London,ON,51.8
ON100116,26/03/2025,C11183,P2955,Water Bottle,Home & Kitchen,169.12,2,WELCOME5,5,PayPal,London,ON,321.33
ON100612,26/03/2025,C11187,P7687,Fitness Tracker,Sports,59.59,2,NO_COUPON,0,Debit Card,Barrie,ON,119.18
ON100711,26/03/2025,C12478,P5991,Water Bottle Sport,Sports,10.97,6,NO_COUPON,0,PayPal,Kitchener,ON,65.82
ON100758,26/03/2025,C11866,P5184,Air Fryer,Home & Kitchen,38.06,4,FREESHIP,0,Debit Card,London,ON,152.24
ON100237,27/03/2025,C10630,P9128,Body Lotion,Beauty,6.36,5,SAVE10,10,Debit Card,Guelph,ON,28.62
ON100301,27/03/2025,C11416,P9348,Body Lotion,Beauty,9.1,2,SAVE15,15,Debit Card,Markham,ON,15.47
ON100323,27/03/2025,C11923,P9873,Wireless Keyboard,Electronics,18.67,2,NO_COUPON,0,Mobile Wallet,Hamilton,ON,37.34
ON100456,27/03/2025,C10723,P3475,Basketball,Sports,34.05,2,NO_COUPON,0,PayPal,Windsor,ON,68.1
ON100822,28/03/2025,C11961,P6463,Air Fryer,Home & Kitchen,96.42,3,NO_COUPON,0,Credit Card,Toronto,ON,289.26
ON100252,29/03/2025,C12404,P3688,Hair Dryer,Beauty,37.14,2,NO_COUPON,0,Credit Card,Barrie,ON,74.28
ON100402,29/03/2025,C11741,P3746,Jeans,Apparel,42.45,1,WELCOME5,5,Mobile Wallet,Cambridge,ON,40.33
ON100521,29/03/2025,C11786,P5091,Winter Jacket,Apparel,173.94,5,NO_COUPON,0,Credit Card,Waterloo,ON,869.7
ON100515,30/03/2025,C10924,P1802,Running Shoes,Apparel,216.83,2,NO_COUPON,0,Debit Card,Windsor,ON,433.66
ON100910,30/03/2025,C11765,P7494,Bluetooth Speaker,Electronics,257.97,2,BOGO,20,Interac,London,ON,412.75
ON100451,31/03/2025,C10232,P5416,Baseball Cap,Apparel,175.53,4,SAVE10,10,Credit Card,Waterloo,ON,631.91
ON100741,31/03/2025,C11442,P5466,Winter Jacket,Apparel,140.71,4,NO_COUPON,0,Interac,Markham,ON,562.84
ON100960,31/03/2025,C11402,P3580,Basketball,Sports,82.37,1,SAVE15,15,Interac,London,ON,70.01
ON100924,01/04/2025,C12182,P8329,Wireless Mouse,Electronics,21.13,3,NO_COUPON,0,Credit Card,Brampton,ON,63.39
ON100269,02/04/2025,C10761,P6459,Coffee Beans,Grocery,11.27,3,SAVE10,10,Credit Card,Kitchener,ON,30.43
ON100351,02/04/2025,C12358,P4797,Wireless Keyboard,Electronics,55.79,6,SAVE10,10,PayPal,London,ON,301.27
ON100178,03/04/2025,C10598,P5409,Running Shoes,Apparel,87.39,6,BOGO,20,Interac,Barrie,ON,419.47
ON100057,04/04/2025,C11418,P1003,Olive Oil,Grocery,3.89,3,BOGO,20,Mobile Wallet,Windsor,ON,9.34
ON100384,04/04/2025,C11606,P1659,Blender,Home & Kitchen,8.36,2,SAVE15,15,Interac,Hamilton,ON,14.21
ON100529,04/04/2025,C11697,P9638,USB-C Hub,Electronics,49.22,3,NO_COUPON,0,Credit Card,Barrie,ON,147.66
ON100946,04/04/2025,C12375,P3130,Storage Bin,Home & Kitchen,8.3,1,NO_COUPON,0,Credit Card,Mississauga,ON,8.3
ON100526,05/04/2025,C10541,P7417,Face Cleanser,Beauty,10.37,4,NO_COUPON,0,Credit Card,Markham,ON,41.48
ON100835,05/04/2025,C12450,P6731,Knife Set,Home & Kitchen,107.98,3,NO_COUPON,0,Interac,Hamilton,ON,323.94
ON100872,05/04/2025,C10633,P1181,USB-C Hub,Electronics,33.49,4,FREESHIP,0,Debit Card,Waterloo,ON,133.96
ON100739,06/04/2025,C10114,P7529,Granola Bars,Grocery,25.03,4,FREESHIP,0,Interac,Waterloo,ON,100.12
ON100923,06/04/2025,C10757,P3859,Knife Set,Home & Kitchen,13.21,2,FREESHIP,0,Mobile Wallet,Vaughan,ON,26.42
ON100082,08/04/2025,C11994,P6451,Shampoo,Beauty,35.07,5,NO_COUPON,0,Debit Card,Kitchener,ON,175.35
ON100175,08/04/2025,C11310,P3727,Water Bottle,Home & Kitchen,53.5,5,NO_COUPON,0,Debit Card,Scarborough,ON,267.5
ON100283,08/04/2025,C11097,P4435,Olive Oil,Grocery,15.83,3,SAVE15,15,Credit Card,Brampton,ON,40.37
ON100344,10/04/2025,C11563,P9141,Coffee Beans,Grocery,7.7,4,SAVE15,15,Credit Card,Scarborough,ON,26.18
ON100040,11/04/2025,C12393,P5933,Winter Jacket,Apparel,127.33,2,SAVE15,15,Debit Card,Ottawa,ON,216.46
ON100183,11/04/2025,C12179,P9055,Air Fryer,Home & Kitchen,80.84,3,NO_COUPON,0,Debit Card,Cambridge,ON,242.52
ON100461,11/04/2025,C12190,P4918,T-Shirt,Apparel,80.35,2,FREESHIP,0,Debit Card,Barrie,ON,160.7
ON100525,11/04/2025,C11622,P3075,Shampoo,Beauty,91.4,3,SAVE10,10,Debit Card,Ottawa,ON,246.78
ON100615,11/04/2025,C11012,P2335,Bluetooth Speaker,Electronics,185.22,1,WELCOME5,5,Credit Card,Guelph,ON,175.96
ON100165,12/04/2025,C10734,P2684,Wireless Mouse,Electronics,170.54,2,NO_COUPON,0,Credit Card,Guelph,ON,341.08
ON100693,12/04/2025,C11826,P5757,Olive Oil,Grocery,36.49,1,NO_COUPON,0,Credit Card,Vaughan,ON,36.49
ON100676,13/04/2025,C11796,P8377,Resistance Bands,Sports,66.56,4,NO_COUPON,0,PayPal,Waterloo,ON,266.24
ON100258,14/04/2025,C10545,P5883,Cereal,Grocery,3.43,2,NO_COUPON,0,Debit Card,London,ON,6.86
ON100694,14/04/2025,C11176,P1684,Tea,Grocery,44.37,2,SAVE10,10,Debit Card,Markham,ON,79.87
ON100405,16/04/2025,C11730,P8662,Body Lotion,Beauty,78.13,2,NO_COUPON,0,PayPal,Ottawa,ON,156.26
ON100894,16/04/2025,C12064,P5073,Resistance Bands,Sports,10.03,2,NO_COUPON,0,Debit Card,Cambridge,ON,20.06
ON101017,16/04/2025,C11051,P8626,USB-C Hub,Electronics,190.14,2,NO_COUPON,0,Debit Card,London,ON,380.28
ON100255,17/04/2025,C11174,P4577,Lip Balm,Beauty,23.49,3,NO_COUPON,0,Credit Card,Markham,ON,70.47
ON100537,17/04/2025,C10876,P1114,Coffee Maker,Home & Kitchen,19.62,3,NO_COUPON,0,Credit Card,Hamilton,ON,58.86
ON100750,17/04/2025,C11003,P7621,Fitness Tracker,Sports,20.63,2,SAVE10,10,Mobile Wallet,Barrie,ON,37.13
ON100226,18/04/2025,C11026,P5466,Webcam,Electronics,42.4,3,NO_COUPON,0,Debit Card,Hamilton,ON,127.2
ON100652,18/04/2025,C11469,P1908,Bluetooth Speaker,Electronics,26.57,4,NO_COUPON,0,Credit Card,Hamilton,ON,106.28
ON100247,19/04/2025,C12087,P2608,Water Bottle Sport,Sports,106.3,6,SAVE10,10,Credit Card,Toronto,ON,574.02
ON100386,19/04/2025,C12185,P6320,Running Shoes,Apparel,13.46,4,NO_COUPON,0,Credit Card,Vaughan,ON,53.84
ON100343,20/04/2025,C10732,P7868,Tea,Grocery,11.19,4,SAVE10,10,PayPal,London,ON,40.28
ON100022,21/04/2025,C11940,P1462,Pasta,Grocery,15.66,4,NO_COUPON,0,Debit Card,Scarborough,ON,62.64
ON100463,21/04/2025,C10738,P5611,Water Bottle Sport,Sports,13.19,3,WELCOME5,5,Debit Card,Hamilton,ON,37.59
ON100557,21/04/2025,C11370,P3065,Granola Bars,Grocery,6.22,1,SAVE15,15,Credit Card,Hamilton,ON,5.29
ON100626,22/04/2025,C11524,P8100,Cereal,Grocery,5.26,3,NO_COUPON,0,Mobile Wallet,Brampton,ON,15.78
ON100898,22/04/2025,C11349,P3250,Pasta,Grocery,5.72,1,NO_COUPON,0,Interac,Hamilton,ON,5.72
