order_id,date,customer_id,product_id,product,product_category,price,quantity,coupon_code,discount_pct,payment_method,shipping_city,shipping_province,sales_amount,coupon_discount_pct,gross_revenue,net_revenue,days_since_purchase
ON100539,2025-02-02,C11082,P2794,Basketball,Sports,126.76,4.0,SAVE15,15,Interac,Ottawa,ON,430.98,15.0,507.04,430.984,674
ON100875,2025-02-02,C10472,P6693,Power Bank,Electronics,49.69,5.0,FREESHIP,0,PayPal,Mississauga,ON,248.45,0.0,248.45,248.45,674
ON100535,2025-03-02,C11417,P4056,Water Bottle,Home & Kitchen,13.6,2.0,NO_COUPON,0,Credit Card,Kitchener,ON,27.2,0.0,27.2,27.2,646
ON100885,2025-03-02,C10575,P5558,Yoga Mat,Sports,14.4,1.0,SAVE10,10,Credit Card,Kitchener,ON,12.96,10.0,14.4,12.96,646
ON101006,2025-03-02,C10568,P8377,Granola Bars,Grocery,19.44,3.0,NO_COUPON,0,Credit Card,Brampton,ON,58.32,0.0,58.32000000000001,58.32000000000001,646
ON101011,2025-03-02,C12280,P7272,Wireless Keyboard,Electronics,92.9,3.0,WELCOME5,5,Credit Card,Barrie,ON,264.77,5.0,278.70000000000005,264.76500000000004,646
ON100846,2025-04-02,C10165,P5593,Wireless Keyboard,Electronics,126.78,1.0,SAVE15,15,Mobile Wallet,Windsor,ON,107.76,15.0,126.78,107.763,615
ON100148,2025-05-02,C12344,P8602,Cereal,Grocery,7.88,1.0,NO_COUPON,0,Mobile Wallet,Cambridge,ON,7.88,0.0,7.88,7.88,585
ON100611,2025-07-02,C11980,P8995,Lip Balm,Beauty,33.7,5.0,NO_COUPON,0,Interac,Scarborough,ON,168.5,0.0,168.5,168.5,524
ON100035,2025-08-02,C11466,P2461,Bluetooth Speaker,Electronics,30.31,3.0,NO_COUPON,0,Debit Card,Waterloo,ON,90.93,0.0,90.92999999999999,90.92999999999999,493
ON100275,2025-09-02,C11241,P1599,Coffee Maker,Home & Kitchen,154.98,1.0,SAVE10,10,Credit Card,Guelph,ON,139.48,10.0,154.98,139.482,462
ON100511,2025-10-02,C10452,P3362,Pasta,Grocery,10.67,4.0,FREESHIP,0,Credit Card,Cambridge,ON,42.68,0.0,42.68,42.68,432
ON100044,2025-11-02,C12376,P3808,Knife Set,Home & Kitchen,16.64,3.0,BOGO,20,Debit Card,Kitchener,ON,39.94,0.0,49.92,39.93600000000001,401
ON100381,2025-11-02,C10272,P5158,Webcam,Electronics,27.81,6.0,FREESHIP,0,Debit Card,Markham,ON,166.86,0.0,166.85999999999999,166.85999999999999,401
ON100886,2025-12-02,C10605,P8941,Knife Set,Home & Kitchen,45.31,4.0,NO_COUPON,0,Debit Card,Toronto,ON,181.24,0.0,181.24,181.24,371
ON100086,2025-01-03,C10978,P3513,Granola Bars,Grocery,5.82,2.0,WELCOME5,5,Credit Card,Brampton,ON,11.06,5.0,11.64,11.058,704
ON100581,2025-02-03,C10500,P6270,Granola Bars,Grocery,45.12,3.0,NO_COUPON,0,PayPal,Cambridge,ON,135.36,0.0,135.35999999999999,135.35999999999999,673
ON100879,2025-02-03,C12375,P1484,Winter Jacket,Apparel,82.04,3.0,SAVE15,15,Credit Card,London,ON,209.2,15.0,246.12,209.202,673
ON100573,2025-03-03,C10209,P8454,Knife Set,Home & Kitchen,14.43,4.0,NO_COUPON,0,PayPal,Waterloo,ON,57.72,0.0,57.72,57.72,645
ON100254,2025-04-03,C12024,P7397,Hoodie,Apparel,191.97,3.0,SAVE15,15,Debit Card,Scarborough,ON,489.52,15.0,575.91,489.52349999999996,614
ON100509,2025-05-03,C11231,P4579,Basketball,Sports,92.76,2.0,FREESHIP,0,PayPal,Vaughan,ON,185.52,0.0,185.52,185.52,584
ON100168,2025-06-03,C11766,P6959,Knife Set,Home & Kitchen,86.6,4.0,SAVE10,10,Interac,Cambridge,ON,311.76,10.0,346.4,311.76,553
ON100454,2025-06-03,C11157,P6379,Wireless Keyboard,Electronics,41.71,3.0,WELCOME5,5,Credit Card,Brampton,ON,118.87,5.0,125.13,118.87349999999999,553
ON100576,2025-06-03,C11500,P9493,Air Fryer,Home & Kitchen,83.44,4.0,FREESHIP,0,Credit Card,Scarborough,ON,333.76,0.0,333.76,333.76,553
ON100806,2025-06-03,C12364,P7570,Granola Bars,Grocery,5.16,1.0,NO_COUPON,5,Credit Card,Markham,ON,4.9,0.0,5.16,4.902,553
ON100305,2025-07-03,C11032,P6173,Coffee Maker,Home & Kitchen,83.62,2.0,NO_COUPON,0,PayPal,Barrie,ON,167.24,0.0,167.24,167.24,523
ON100317,2025-07-03,C12350,P7482,Granola Bars,Grocery,10.82,6.0,NO_COUPON,0,PayPal,Markham,ON,64.92,0.0,64.92,64.92,523
ON100474,2025-08-03,C10769,P2314,Granola Bars,Grocery,8.19,1.0,NO_COUPON,0,Mobile Wallet,London,ON,8.19,0.0,8.19,8.19,492
ON100796,2025-09-03,C12109,P5389,Power Bank,Electronics,79.24,5.0,SAVE10,10,Mobile Wallet,Waterloo,ON,356.58,10.0,396.2,356.58,461
ON100118,2025-11-03,C10226,P9987,Power Bank,Electronics,140.76,5.0,WELCOME5,5,Debit Card,Hamilton,ON,668.61,5.0,703.8,668.6099999999999,400
ON100494,2025-11-03,C12091,P6878,Shampoo,Beauty,35.97,2.0,NO_COUPON,0,Credit Card,Scarborough,ON,71.94,0.0,71.94,71.94,400
ON100861,2025-11-03,C10276,P4729,Face Cleanser,Beauty,45.86,2.0,NO_COUPON,0,Credit Card,Mississauga,ON,91.72,0.0,91.72,91.72,400
ON100359,2025-12-03,C12265,P6497,Blender,Home & Kitchen,167.31,3.0,NO_COUPON,0,Mobile Wallet,Kitchener,ON,501.93,0.0,501.93,501.93,370
ON100531,2025-12-03,C10325,P5633,Cereal,Grocery,10.43,3.0,NO_COUPON,0,Credit Card,Brampton,ON,31.29,0.0,31.29,31.29,370
ON101005,2025-12-03,C11902,P7676,Water Bottle Sport,Sports,176.73,2.0,SAVE10,10,Debit Card,Brampton,ON,318.11,10.0,353.46,318.114,370
ON100924,2025-01-04,C12182,P8329,Wireless Mouse,Electronics,21.13,3.0,NO_COUPON,0,Credit Card,Brampton,ON,63.39,0.0,63.39,63.39,703
ON100269,2025-02-04,C10761,P6459,Coffee Beans,Grocery,11.27,3.0,SAVE10,10,Credit Card,Kitchener,ON,30.43,10.0,33.81,30.429000000000002,672
ON100351,2025-02-04,C12358,P4797,Wireless Keyboard,Electronics,55.79,6.0,SAVE10,10,PayPal,London,ON,301.27,10.0,334.74,301.266,672
ON100178,2025-03-04,C10598,P5409,Running Shoes,Apparel,87.39,6.0,BOGO,20,Interac,Barrie,ON,419.47,0.0,524.34,419.47200000000004,644
ON100057,2025-04-04,C11418,P1003,Olive Oil,Grocery,3.89,3.0,BOGO,20,Mobile Wallet,Windsor,ON,9.34,0.0,11.67,9.336,613
ON100384,2025-04-04,C11606,P1659,Blender,Home & Kitchen,8.36,2.0,SAVE15,15,Interac,Hamilton,ON,14.21,15.0,16.72,14.211999999999998,613
ON100529,2025-04-04,C11697,P9638,USB-C Hub,Electronics,49.22,3.0,NO_COUPON,0,Credit Card,Barrie,ON,147.66,0.0,147.66,147.66,613
ON100946,2025-04-04,C12375,P3130,Storage Bin,Home & Kitchen,8.3,1.0,NO_COUPON,0,Credit Card,Mississauga,ON,8.3,0.0,8.3,8.3,613
ON100526,2025-05-04,C10541,P7417,Face Cleanser,Beauty,10.37,4.0,NO_COUPON,0,Credit Card,Markham,ON,41.48,0.0,41.48,41.48,583
ON100835,2025-05-04,C12450,P6731,Knife Set,Home & Kitchen,107.98,3.0,NO_COUPON,0,Interac,Hamilton,ON,323.94,0.0,323.94,323.94,583
ON100872,2025-05-04,C10633,P1181,USB-C Hub,Electronics,33.49,4.0,FREESHIP,0,Debit Card,Waterloo,ON,133.96,0.0,133.96,133.96,583
ON100739,2025-06-04,C10114,P7529,Granola Bars,Grocery,25.03,4.0,FREESHIP,0,Interac,Waterloo,ON,100.12,0.0,100.12,100.12,552
ON100923,2025-06-04,C10757,P3859,Knife Set,Home & Kitchen,13.21,2.0,FREESHIP,0,Mobile Wallet,Vaughan,ON,26.42,0.0,26.42,26.42,552
ON100082,2025-08-04,C11994,P6451,Shampoo,Beauty,35.07,5.0,NO_COUPON,0,Debit Card,Kitchener,ON,175.35,0.0,175.35,175.35,491
ON100175,2025-08-04,C11310,P3727,Water Bottle,Home & Kitchen,53.5,5.0,NO_COUPON,0,Debit Card,Scarborough,ON,267.5,0.0,267.5,267.5,491
ON100283,2025-08-04,C11097,P4435,Olive Oil,Grocery,15.83,3.0,SAVE15,15,Credit Card,Brampton,ON,40.37,15.0,47.49,40.3665,491
ON100344,2025-10-04,C11563,P9141,Coffee Beans,Grocery,7.7,4.0,SAVE15,15,Credit Card,Scarborough,ON,26.18,15.0,30.8,26.18,430
ON100040,2025-11-04,C12393,P5933,Winter Jacket,Apparel,127.33,2.0,SAVE15,15,Debit Card,Ottawa,ON,216.46,15.0,254.66,216.46099999999998,399
ON100183,2025-11-04,C12179,P9055,Air Fryer,Home & Kitchen,80.84,3.0,NO_COUPON,0,Debit Card,Cambridge,ON,242.52,0.0,242.52,242.52,399
ON100461,2025-11-04,C12190,P4918,T-Shirt,Apparel,80.35,2.0,FREESHIP,0,Debit Card,Barrie,ON,160.7,0.0,160.7,160.7,399
ON100525,2025-11-04,C11622,P3075,Shampoo,Beauty,91.4,3.0,SAVE10,10,Debit Card,Ottawa,ON,246.78,10.0,274.20000000000005,246.78000000000006,399
ON100615,2025-11-04,C11012,P2335,Bluetooth Speaker,Electronics,185.22,1.0,WELCOME5,5,Credit Card,Guelph,ON,175.96,5.0,185.22,175.959,399
ON100165,2025-12-04,C10734,P2684,Wireless Mouse,Electronics,170.54,2.0,NO_COUPON,0,Credit Card,Guelph,ON,341.08,0.0,341.08,341.08,369
ON100693,2025-12-04,C11826,P5757,Olive Oil,Grocery,36.49,1.0,NO_COUPON,0,Credit Card,Vaughan,ON,36.49,0.0,36.49,36.49,369
ON100826,2025-01-05,C12445,P3685,Running Shoes,Apparel,53.52,5.0,NO_COUPON,0,Interac,Hamilton,ON,267.6,0.0,267.6,267.6,702
ON100101,2025-02-05,C12411,P9408,Wireless Keyboard,Electronics,51.7,3.0,FREESHIP,0,Credit Card,Brampton,ON,155.1,0.0,155.10000000000002,155.10000000000002,671
ON100420,2025-02-05,C10980,P1745,Webcam,Electronics,43.19,3.0,SAVE10,10,Credit Card,Vaughan,ON,116.61,10.0,129.57,116.613,671
ON100008,2025-03-05,C12481,P3541,Air Fryer,Home & Kitchen,12.02,1.0,SAVE10,10,PayPal,Scarborough,ON,10.82,10.0,12.02,10.818,643
ON100220,2025-03-05,C10549,P4965,Air Fryer,Home & Kitchen,41.47,3.0,SAVE15,15,Interac,Hamilton,ON,105.75,15.0,124.41,105.74849999999999,643
ON100644,2025-03-05,C11624,P3658,Moisturizer,Beauty,12.9,2.0,NO_COUPON,0,PayPal,Hamilton,ON,25.8,0.0,25.8,25.8,643
ON100655,2025-03-05,C11028,P7907,Water Bottle,Home & Kitchen,13.3,3.0,NO_COUPON,0,Credit Card,Windsor,ON,39.9,0.0,39.900000000000006,39.900000000000006,643
ON100860,2025-03-05,C11709,P9047,Granola Bars,Grocery,31.88,4.0,SAVE15,15,PayPal,Scarborough,ON,108.39,15.0,127.52,108.392,643
ON100333,2025-04-05,C10326,P6421,Power Bank,Electronics,19.1,5.0,NO_COUPON,0,PayPal,Vaughan,ON,95.5,0.0,95.5,95.5,612
ON100724,2025-07-05,C10758,P4653,Water Bottle,Home & Kitchen,47.37,3.0,SAVE15,15,Credit Card,Kitchener,ON,120.79,15.0,142.10999999999999,120.79349999999998,521
ON100140,2025-11-05,C11727,P8359,Knife Set,Home & Kitchen,35.23,3.0,NO_COUPON,0,Debit Card,London,ON,105.69,0.0,105.69,105.69,398
ON100561,2025-01-06,C10068,P7162,Lip Balm,Beauty,40.78,3.0,NO_COUPON,0,Credit Card,Markham,ON,122.34,0.0,122.34,122.34,701
ON100609,2025-01-06,C11845,P4518,Running Shoes,Apparel,97.5,4.0,SAVE10,10,Credit Card,Vaughan,ON,351.0,10.0,390.0,351.0,701
ON100477,2025-02-06,C11183,P7351,Basketball,Sports,56.4,2.0,NO_COUPON,0,Mobile Wallet,Windsor,ON,112.8,0.0,112.8,112.8,670
ON100686,2025-03-06,C10864,P4248,Pasta,Grocery,4.01,1.0,FREESHIP,0,Credit Card,Markham,ON,4.01,0.0,4.01,4.01,642
ON100905,2025-04-06,C11010,P8835,Running Shoes,Apparel,15.52,2.0,NO_COUPON,0,Credit Card,Waterloo,ON,31.04,0.0,31.04,31.04,611
ON100340,2025-05-06,C12298,P5598,Tea,Grocery,4.6,2.0,SAVE10,10,Interac,Waterloo,ON,8.28,10.0,9.2,8.28,581
ON100919,2025-06-06,C11836,P3184,Blender,Home & Kitchen,17.11,4.0,NO_COUPON,0,Credit Card,Waterloo,ON,68.44,0.0,68.44,68.44,550
ON100207,2025-08-06,C10669,P5310,Bluetooth Speaker,Electronics,54.12,3.0,NO_COUPON,0,PayPal,Guelph,ON,162.36,0.0,162.35999999999999,162.35999999999999,489
ON100205,2025-09-06,C12126,P1591,Webcam,Electronics,95.94,1.0,SAVE15,15,PayPal,Kitchener,ON,81.55,15.0,95.94,81.54899999999999,458
ON100374,2025-09-06,C11071,P6213,Dumbbells,Sports,20.18,2.0,NO_COUPON,0,Debit Card,London,ON,40.36,0.0,40.36,40.36,458
ON100202,2025-11-06,C11108,P5749,Basketball,Sports,53.56,2.0,SAVE15,15,Debit Card,Barrie,ON,91.05,15.0,107.12,91.052,397
ON100610,2025-11-06,C11245,P9546,Face Cleanser,Beauty,53.22,2.0,NO_COUPON,0,Interac,Markham,ON,106.44,0.0,106.44,106.44,397
ON100288,2025-12-06,C11253,P1227,Power Bank,Electronics,41.43,2.0,SAVE10,10,Credit Card,Markham,ON,74.57,10.0,82.86,74.574,367
ON100347,2025-01-07,C12141,P4854,Webcam,Electronics,25.53,2.0,SAVE10,10,Credit Card,Vaughan,ON,45.95,10.0,51.06,45.954,700
ON100956,2025-01-07,C10256,P6473,Hoodie,Apparel,17.42,5.0,NO_COUPON,0,PayPal,Brampton,ON,87.1,0.0,87.10000000000001,87.10000000000001,700
ON100259,2025-02-07,C12156,P7116,Face Cleanser,Beauty,15.87,5.0,NO_COUPON,0,PayPal,Cambridge,ON,79.35,0.0,79.35,79.35,669
ON100436,2025-02-07,C11311,P4193,USB-C Hub,Electronics,123.44,4.0,FREESHIP,0,Credit Card,Cambridge,ON,493.76,0.0,493.76,493.76,669
ON100914,2025-02-07,C10377,P7998,Moisturizer,Beauty,28.79,2.0,NO_COUPON,0,Credit Card,Brampton,ON,57.58,0.0,57.58,57.58,669
ON100186,2025-03-07,C10472,P4079,Coffee Beans,Grocery,11.86,2.0,SAVE15,15,Mobile Wallet,Hamilton,ON,20.16,15.0,23.72,20.162,641
ON100302,2025-03-07,C10007,P6005,Blender,Home & Kitchen,65.27,2.0,FREESHIP,0,Credit Card,Mississauga,ON,130.54,0.0,130.54,130.54,641
ON100790,2025-03-07,C11118,P8734,Face Cleanser,Beauty,18.64,2.0,BOGO,20,Credit Card,Toronto,ON,29.82,0.0,37.28,29.824,641
ON100134,2025-04-07,C10057,P5304,Dumbbells,Sports,99.2,2.0,WELCOME5,5,Credit Card,Cambridge,ON,188.48,5.0,198.4,188.48,610
ON100222,2025-05-07,C12169,P7197,Hoodie,Apparel,43.13,2.0,NO_COUPON,0,Debit Card,Ottawa,ON,86.26,0.0,86.26,86.26,580
ON100235,2025-07-07,C11546,P2728,Knife Set,Home & Kitchen,16.26,2.0,SAVE15,15,Interac,Markham,ON,27.64,15.0,32.52,27.642000000000003,519
ON100327,2025-08-07,C12141,P5942,Power Bank,Electronics,74.2,2.0,SAVE15,15,Mobile Wallet,Waterloo,ON,126.14,15.0,148.4,126.14,488
ON100394,2025-08-07,C10023,P2582,Granola Bars,Grocery,3.23,4.0,NO_COUPON,0,Mobile Wallet,Guelph,ON,12.92,0.0,12.92,12.92,488
ON100519,2025-08-07,C10826,P2422,Blender,Home & Kitchen,13.78,5.0,BOGO,20,PayPal,Ottawa,ON,55.12,0.0,68.89999999999999,55.12,488
ON100087,2025-09-07,C10481,P2388,Fitness Tracker,Sports,11.6,6.0,NO_COUPON,0,Credit Card,Vaughan,ON,69.6,0.0,69.6,69.6,457
ON100441,2025-10-07,C12323,P3177,Running Shoes,Apparel,82.53,3.0,NO_COUPON,0,Debit Card,Barrie,ON,247.59,0.0,247.59,247.59,427
ON100737,2025-10-07,C10282,P5235,Power Bank,Electronics,180.31,4.0,NO_COUPON,0,Credit Card,Kitchener,ON,721.24,0.0,721.24,721.24,427
ON100738,2025-10-07,C11219,P8711,Granola Bars,Grocery,38.98,4.0,NO_COUPON,0,PayPal,Kitchener,ON,155.92,0.0,155.92,155.92,427
ON100999,2025-10-07,C11406,P8026,Webcam,Electronics,93.7,4.0,NO_COUPON,0,PayPal,Cambridge,ON,374.8,0.0,374.8,374.8,427
ON101019,2025-10-07,C12021,P4779,Pasta,Grocery,9.88,2.0,NO_COUPON,0,Credit Card,Toronto,ON,19.76,0.0,19.76,19.76,427
ON100304,2025-11-07,C11547,P3032,Face Cleanser,Beauty,22.3,2.0,SAVE10,10,Credit Card,London,ON,40.14,10.0,44.6,40.14,396
ON100362,2025-11-07,C10080,P9791,Moisturizer,Beauty,10.43,2.0,NO_COUPON,0,Credit Card,Markham,ON,20.86,0.0,20.86,20.86,396
ON100787,2025-11-07,C11362,P5509,Olive Oil,Grocery,3.11,1.0,NO_COUPON,0,Credit Card,Cambridge,ON,3.11,0.0,3.11,3.11,396
ON100973,2025-11-07,C10548,P3332,USB-C Hub,Electronics,31.54,3.0,NO_COUPON,15,Credit Card,Waterloo,ON,80.43,0.0,94.62,80.427,396
ON100332,2025-12-07,C10142,P6745,Yoga Mat,Sports,160.36,3.0,SAVE15,15,PayPal,Windsor,ON,408.92,15.0,481.08000000000004,408.918,366
ON100953,2025-12-07,C10487,P5915,Dumbbells,Sports,23.04,1.0,NO_COUPON,0,Credit Card,Mississauga,ON,23.04,0.0,23.04,23.04,366
ON100964,2025-01-08,C10199,P4632,Power Bank,Electronics,21.49,2.0,BOGO,20,Mobile Wallet,Vaughan,ON,34.38,0.0,42.98,34.384,699
ON100043,2025-04-08,C11811,P6812,Webcam,Electronics,109.95,2.0,BOGO,20,Credit Card,London,ON,175.92,0.0,219.9,175.92000000000002,609
ON100514,2025-06-08,C10488,P1469,Granola Bars,Grocery,40.89,3.0,FREESHIP,0,Credit Card,London,ON,122.67,0.0,122.67,122.67,548
ON100754,2025-07-08,C11885,P5946,Storage Bin,Home & Kitchen,34.27,3.0,SAVE10,10,Debit Card,Mississauga,ON,92.53,10.0,102.81,92.52900000000001,518
ON100983,2025-07-08,C11273,P3937,Face Cleanser,Beauty,49.24,4.0,WELCOME5,5,Credit Card,Windsor,ON,187.11,5.0,196.96,187.112,518
ON100190,2025-08-08,C11960,P3220,Tea,Grocery,17.28,2.0,NO_COUPON,0,PayPal,Kitchener,ON,34.56,0.0,34.56,34.56,487
ON100052,2025-09-08,C11421,P2801,Baseball Cap,Apparel,12.15,5.0,SAVE10,10,Credit Card,Barrie,ON,54.68,10.0,60.75,54.675000000000004,456
ON100296,2025-09-08,C10931,P3120,Lip Balm,Beauty,63.07,2.0,SAVE10,10,Credit Card,Toronto,ON,113.53,10.0,126.14,113.526,456
ON100735,2025-10-08,C12407,P9149,Power Bank,Electronics,121.99,4.0,BOGO,20,Debit Card,Waterloo,ON,390.37,0.0,487.96,390.368,426
ON100062,2025-11-08,C10436,P7284,Blender,Home & Kitchen,117.06,2.0,SAVE15,15,Debit Card,Windsor,ON,199.0,15.0,234.12,199.002,395
ON100197,2025-11-08,C12280,P8238,Tea,Grocery,5.08,3.0,NO_COUPON,0,Debit Card,Guelph,ON,15.24,0.0,15.24,15.24,395
ON100387,2025-11-08,C10359,P3145,Resistance Bands,Sports,13.75,3.0,SAVE10,10,Debit Card,Cambridge,ON,37.12,10.0,41.25,37.125,395
ON100621,2025-11-08,C12489,P3426,Wireless Keyboard,Electronics,44.46,5.0,SAVE10,10,Credit Card,Guelph,ON,200.07,10.0,222.3,200.07000000000002,395
ON100619,2025-12-08,C10354,P1131,Hoodie,Apparel,133.18,3.0,WELCOME5,5,Credit Card,Toronto,ON,379.56,5.0,399.54,379.563,365
ON100942,2025-01-09,C10784,P2946,Knife Set,Home & Kitchen,89.81,4.0,WELCOME5,5,Credit Card,Cambridge,ON,341.28,5.0,359.24,341.278,698
ON100026,2025-02-09,C10961,P6614,Resistance Bands,Sports,121.39,1.0,NO_COUPON,0,Debit Card,Ottawa,ON,121.39,0.0,121.39,121.39,667
ON100578,2025-03-09,C11155,P5560,Jeans,Apparel,24.63,2.0,SAVE10,10,Credit Card,Brampton,ON,44.33,10.0,49.26,44.333999999999996,639
ON100928,2025-03-09,C11893,P5650,Jeans,Apparel,67.6,2.0,SAVE15,15,Debit Card,Mississauga,ON,114.92,15.0,135.2,114.91999999999999,639
ON100161,2025-04-09,C12071,P1101,USB-C Hub,Electronics,62.75,5.0,NO_COUPON,0,Mobile Wallet,Kitchener,ON,313.75,0.0,313.75,313.75,608
ON100678,2025-04-09,C10597,P4830,Bluetooth Speaker,Electronics,114.47,2.0,NO_COUPON,0,Credit Card,Vaughan,ON,228.94,0.0,228.94,228.94,608
ON100142,2025-05-09,C10430,P3157,Coffee Maker,Home & Kitchen,14.98,2.0,SAVE15,15,Credit Card,Scarborough,ON,25.47,15.0,29.96,25.466,578
ON100160,2025-06-09,C11497,P8769,Jeans,Apparel,32.84,5.0,NO_COUPON,0,Credit Card,Windsor,ON,164.2,0.0,164.20000000000002,164.20000000000002,547
ON100947,2025-06-09,C10573,P8499,Shampoo,Beauty,11.9,5.0,FREESHIP,0,Credit Card,Markham,ON,59.5,0.0,59.5,59.5,547
ON100064,2025-07-09,C11737,P1204,Winter Jacket,Apparel,209.38,1.0,NO_COUPON,0,PayPal,Waterloo,ON,209.38,0.0,209.38,209.38,517
ON100367,2025-07-09,C12286,P7545,USB-C Hub,Electronics,122.04,2.0,NO_COUPON,0,Credit Card,Windsor,ON,244.08,0.0,244.08,244.08,517
ON100893,2025-07-09,C10803,P9417,Granola Bars,Grocery,9.64,2.0,NO_COUPON,0,Interac,Windsor,ON,19.28,0.0,19.28,19.28,517
ON100945,2025-07-09,C11396,P6567,Webcam,Electronics,44.2,2.0,NO_COUPON,0,Mobile Wallet,Barrie,ON,88.4,0.0,88.4,88.4,517
ON100489,2025-08-09,C10053,P5803,Fitness Tracker,Sports,60.7,3.0,BOGO,20,Debit Card,Markham,ON,145.68,0.0,182.10000000000002,145.68000000000004,486
ON100244,2025-10-09,C10877,P2597,Wireless Mouse,Electronics,90.93,4.0,NO_COUPON,0,Debit Card,Mississauga,ON,363.72,0.0,363.72,363.72,425
ON100565,2025-10-09,C12313,P2624,Yoga Mat,Sports,94.35,5.0,SAVE10,10,Debit Card,Kitchener,ON,424.58,10.0,471.75,424.575,425
ON100162,2025-11-09,C11943,P8057,Coffee Maker,Home & Kitchen,95.54,4.0,WELCOME5,5,PayPal,Kitchener,ON,363.05,5.0,382.16,363.052,394
ON100271,2025-11-09,C10661,P5181,Pasta,Grocery,33.0,3.0,SAVE10,10,Credit Card,Kitchener,ON,89.1,10.0,99.0,89.10000000000001,394
ON100419,2025-11-09,C10226,P1334,Fitness Tracker,Sports,138.96,4.0,NO_COUPON,0,PayPal,Guelph,ON,555.84,0.0,555.84,555.84,394
ON100616,2025-11-09,C12115,P7305,Olive Oil,Grocery,3.9,5.0,SAVE15,15,Debit Card,Kitchener,ON,16.58,15.0,19.5,16.575,394
ON100915,2025-11-09,C10432,P2687,Webcam,Electronics,118.08,3.0,NO_COUPON,0,Mobile Wallet,Ottawa,ON,354.24,0.0,354.24,354.24,394
ON100957,2025-11-09,C11513,P8233,Running Shoes,Apparel,179.78,4.0,SAVE10,10,Credit Card,Waterloo,ON,647.21,10.0,719.12,647.208,394
